"Daily Weather Observations for Canberra, Australian Capital Territory for July 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 16:01 UTC on Thursday  2 September 2021   IDCJDW2801.202107,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
7/1/2021,2.6,11.5,0,,,SE,19,2:52,6.6,100,8, ,Calm,1026.7,11.3,82,8, ,Calm,1023.3
7/2/2021,6.6,12.8,7.6,,,NW,35,12:04,9.3,99,8,NNW,15,1019.6,11.6,82,8,NW,20,1018
7/3/2021,6.4,12.6,1,,,NW,43,14:08,8.6,86,,N,17,1019.4,9.9,64,7,WNW,24,1017.1
7/4/2021,2.1,10.4,0,,,NW,41,11:33,6.2,78,2,NNW,22,1022.5,7.5,58,5,WNW,22,1020.4
7/5/2021,-1.6,11.9,0,,,WNW,37,15:45,4.4,99,8, ,Calm,1023,11.5,56,,NNW,17,1020
7/6/2021,-3.1,6.3,0,,,SE,17,6:09,1,99,8,SSE,9,1023.5,5.8,74,,NW,9,1022.5
7/7/2021,-4.7,12.4,0,,,NNE,19,14:58,0.9,99,7,ENE,6,1027.2,11.7,47,8,N,13,1024.2
7/8/2021,-5.1,12,0.2,,,NW,22,14:35,-0.8,99,8,N,7,1025.4,11.1,44,8,NNW,13,1021.3
7/9/2021,-0.8,14.9,0,,,E,39,15:41,3,92,7,N,7,1017.5,14.6,49,7,NW,11,1013.2
7/10/2021,-2.8,11.7,5.4,,,S,37,9:51,4.5,90,,ESE,4,1022.3,10.9,66,8,S,22,1023.1
7/11/2021,-0.6,13,0.2,,,SE,19,4:22,6.7,81,1,SE,9,1029.5,12.5,57,8,NW,9,1026.1
7/12/2021,-1.2,13.8,0,,,NNW,31,15:26,2.7,100,8, ,Calm,1025.3,13,54,,NNW,20,1020.6
7/13/2021,0.7,14.3,0.2,,,NNW,37,14:04,8.3,99,,NNW,6,1019.4,12,56,7,NNW,20,1016
7/14/2021,0.9,12.5,0,,,NNW,59,15:17,8.4,70,4,NNW,15,1013,9.2,83,7,NNW,37,1009.3
7/15/2021,8,15.3,0.2,,,WNW,50,15:51,10.6,87,8,NNW,17,1006.8,13.4,64,1,NNW,26,1003.1
7/16/2021,5.5,10.7,4.2,,,NNW,59,22:30,8.9,97,8,NNW,26,996.2,6.9,94,8,NW,28,995
7/17/2021,4,8.9,8.2,,,WNW,54,0:17,5.5,82,8,NW,26,996.9,7,69,8,NW,30,999.1
7/18/2021,3.5,12.6,0.4,,,WNW,44,13:57,8.6,77,,N,20,1013.6,11.3,54,,WNW,31,1014.2
7/19/2021,-1,8.3,0.2,,,NW,33,0:00,2.8,99,8,SSE,9,1019.7,7.9,77,8,NNW,22,1014.7
7/20/2021,2.4,9.5,0.2,,,NW,54,12:36,5.5,94,8,N,22,1011.6,7.7,86,8,NNW,30,1005.6
7/21/2021,-1.7,10.8,2.8,,,SSE,37,7:10,5.2,65,,SSW,20,1016.8,10.4,41,,SSE,15,1017.1
7/22/2021,-6,11.3,0.2,,,N,22,15:41,0,95,, ,Calm,1020.1,9.6,54,1,W,11,1014.3
7/23/2021,-0.5,8.2,0.2,,,E,13,4:41,4,96,8,SSE,9,1009.8,6,99,8,SE,9,1006.1
7/24/2021,3.9,10.3,5,,,NNW,72,20:59,8.2,88,5,NW,24,1003.4,8.7,60,8,WNW,24,1002.8
7/25/2021,1.8,8.8,10.2,,,NW,61,5:31,3.4,87,8,NW,30,1005.7,5.8,68,8,NW,26,1009.6
7/26/2021,3.4,13.2,2.8,,,NW,48,5:27,8.2,82,7,N,19,1016.4,11.4,67,7,WNW,30,1015.9
7/27/2021,7.4,15.8,0,,,NW,46,11:49,10.2,78,1,NNW,22,1018.9,14,51,1,NNW,33,1015.6
7/28/2021,2.4,12.4,0,,,NW,59,9:10,10.7,63,8,NW,39,1009.3,9.3,96,8,NW,20,1005.2
7/29/2021,2.8,13.3,4.8,,,NW,37,5:06,6.8,62,,WNW,22,1014.9,12.5,42,,NW,26,1015.6
7/30/2021,-5,12.9,0,,,NNW,33,14:53,0.3,91,2,ENE,4,1022.6,11.9,35,,NNW,22,1018.1
7/31/2021,-0.3,15.9,0,,,WNW,33,13:41,6.3,80,6,SSW,9,1015.5,14.2,53,8,NNW,15,1009.7
