"Daily Weather Observations for Canberra, Australian Capital Territory for May 2021",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Saturday  4 September 2021   IDCJDW2801.202105,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
5/01/2021,3.6,21.5,0,,,SSW,31,13:19,11.8,88,,NW,2,1030.9,21,41,,NNW,9,1028.1
5/02/2021,3.4,21.3,0,,,NW,30,12:24,10.4,100,8, ,Calm,1029.7,21,51,,NNW,15,1025.3
5/03/2021,2.5,22.3,0,,,SSW,39,18:46,10.5,94,,NW,4,1024.5,21.4,48,8,NW,19,1019
5/04/2021,9.9,13.3,25.4,,,SSW,17,9:45,11,100,8,E,6,1018.3,12.3,93,8,SE,9,1016.6
5/05/2021,10.3,15.8,12.4,,,SSW,35,12:58,13.3,90,7,SSW,17,1018.6,14.5,84,8,S,26,1017.7
5/06/2021,11.6,19.8,0.6,,,SE,54,13:52,15.4,74,2,SSE,20,1019.3,17.9,71,8,SE,30,1016.3
5/07/2021,12,20.6,0.2,,,ESE,28,13:45,15.4,88,8,SE,11,1015.7,18.4,75,6,ESE,13,1012.5
5/08/2021,8.7,19.8,0.4,,,NW,30,13:06,11.4,100,8, ,Calm,1015.5,18,48,8,WNW,17,1014.4
5/09/2021,6.6,20.4,0,,,NW,31,14:23,12.3,81,,S,7,1020.9,16.6,64,,NW,19,1017.5
5/10/2021,3.3,18.2,0,,,NW,44,11:11,9.2,100,8,S,7,1016.6,17.7,63,8,NNW,24,1012.5
5/11/2021,8,14.8,2.8,,,N,24,1:08,11.5,94,8,NNW,13,1016.1,13.8,68,1,NNW,17,1016.8
5/12/2021,5.7,18.5,0,,,E,30,15:20,12,86,6,SSE,6,1022.3,17,52,,ENE,13,1019.2
5/13/2021,1,17.6,0,,,WNW,41,14:19,8.8,92,,N,4,1016.8,15.7,49,6,WNW,24,1011.7
5/14/2021,7,13.7,0,,,WNW,44,4:28,9.9,50,,NW,20,1013.9,12,49,5,WNW,24,1013.1
5/15/2021,6.1,12.1,0,,,WNW,63,8:54,9.2,62,2,WNW,43,1010.8,11.4,45,3,W,26,1013.5
5/16/2021,-5.4,12.9,0,,,NW,48,14:29,1.8,83,, ,Calm,1022.6,11.1,49,,NW,35,1018.6
5/17/2021,1.8,14.3,0,,,NNW,39,1:19,8.7,74,,N,13,1023.4,13.2,53,1,NNW,26,1023
5/18/2021,-3.6,12.8,0,,,N,26,12:46,2.3,99,8,NNE,7,1030.1,12.2,52,,NNW,17,1027
5/19/2021,-3.8,12.5,0.2,,,WSW,19,14:54,2.2,100,8,E,6,1030,12.1,64,,WSW,13,1026.7
5/20/2021,-1.9,14.7,0.2,,,NNW,17,14:56,4.3,100,8,E,7,1029.3,13.4,60,8,NNW,13,1026.9
5/21/2021,-1.6,17.4,0,,,SW,15,16:12,7,82,,SE,9,1032.3,17.2,43,,WNW,6,1028.6
5/22/2021,2.1,17.4,0,,,SE,20,5:01,5.4,78,,SSE,9,1029.6,17.1,36,,WNW,9,1025.2
5/23/2021,-3,18,0,,,E,28,18:15,5.4,86,, ,Calm,1029.4,16,52,,E,13,1027
5/24/2021,3.4,17.6,0,,,ENE,19,12:21,10.5,95,8,SSW,7,1032.2,16,62,4,NE,9,1028.4
5/25/2021,4,18.7,0.2,,,NNW,39,13:46,6.8,100,8, ,Calm,1026.4,18,48,2,NNW,28,1019.4
5/26/2021,6.7,13.9,5,,,NNW,54,1:03,10.3,73,,N,13,1017.3,12.6,52,3,WNW,33,1017.3
5/27/2021,-3.5,14.6,0,,,WNW,39,14:09,4.5,94,, ,Calm,1025.5,13.8,45,,WNW,26,1022.4
5/28/2021,-0.1,11.8,0,,,S,46,12:00,6.9,77,,ESE,9,1026.2,10.7,39,,S,31,1026.6
5/29/2021,-3.4,12.5,0,,,S,39,8:57,5.6,64,,S,30,1031,12,41,,SSW,15,1028.3
5/30/2021,-4.1,13.6,0.2,,,ESE,19,9:49,4,82,,N,6,1030.7,13.4,40,,NW,9,1027
5/31/2021,-6.3,15.7,0,,,NNW,24,14:50,0.8,99,,NNW,6,1027,15.1,32,,NNW,15,1023.1
